ID,이름,설명,스토리단계,가격,맵ID,레이어
RN01A,포근한 나무벽지,포근하고 향긋한 나무향이 나는 것 같다,MS01B,400,MN04,0
RN01B,포근한 푹신 러그,포근하고 바닥에 눕고 싶어진다,MS01B,400,MN04,1
RN01C,포근한 벽난로,포근하고 따뜻한 벽난로!,MS01B,1500,MN04,2
RN01D,포근한 선반,포근하고 쿠키가 숨겨져 있을 것 같은 선반,MS01B,500,MN04,3
RN01E,포근한 흔들의자,포근하게 흔들거리다가 잠들 것 같다,MS01B,1200,MN04,4
RN01F,포근한 테이블,포근하고 맛있는 티세트가 함께하는 테이블,MS01B,800,MN04,5
RN01G,포근한 실뭉치,포근하고 만지고 싶은 실뭉치,MS01B,400,MN04,6
RN01H,포근한 화분,포근하고 화사함을 선사하는 화분,MS01B,300,MN04,7
RN02A,겨울 캠핑 숲 벽지,겨울의 숲 한가운데 온 것  같다.,MS01B,600,MN04,0
RN02B,겨울 캠핑 뽀드득 눈,겨울의 뽀얀 눈을 밟는 것 같다.,MS01B,400,MN04,1
RN02C,겨울 캠핑 눈 결정,하늘 하늘 내린는 눈의 결정,MS01B,200,MN04,2
RN02D,겨울 캠핑 눈 송이,하늘 하늘 내리는 눈 송이,MS01B,200,MN04,3
RN02E,겨울 캠핑 장작 더미,모닥불을 위해 쌓여진 장작,MS01B,400,MN04,4
RN02F,겨울 캠핑 삼각 텐트,겨울 속에서 작고 아담한 텐트,MS01B,1400,MN04,5
RN02G,겨울 캠핑 그루터기,겨울의 멋진 나무꾼의 증거,MS01B,800,MN04,6
RN02H,겨울 캠핑 모닥불,겨울 속에서 나를 따뜻하게 해주는 모닥불,MS01B,1000,MN04,7
RN03A,과자집의 흐르는 잼 벽지,달콤한 잼이 흐르고 있다.,MS01B,600,MN04,0
RN03B,과자집의 초콜렛 바닥,달콤하지만 딱딱하고 안전하다.,MS01B,300,MN04,1
RN03C,과자집의 활짝 초코 창문,혹시나 떼어먹다가 걸리지 말자,MS01B,800,MN04,2
RN03D,과자집의 마카롱 선반,선반은 떼어먹으면 안돼!,MS01B,600,MN04,3
RN03E,과자집의 슈크림 쿠션,누울때마다 슈크림이 새어나온다!,MS01B,1100,MN04,4
RN03F,과자집의 솜사탕 침대,후후 불면은 구멍이 뚫리지 않으니 안심,MS01B,1500,MN04,5
RN03G,과자집의 쿠키 테이블,핫초코를 마시며 테이블도 떼어먹으면 안되겠지?,MS01B,700,MN04,6
RN03H,과자집의 4단 케이크,멋들어진 케이크가 무려 4단!!,MS01B,800,MN04,7
RN04A,피크닉에서 맑은 날씨 벽지,맑은 하늘이 보는 사람까지 시원해진다.,MS01B,500,MN04,0
RN04B,피크닉 푸른 잔디 바닥,푸른 잔디밭은 한번 누워보고 싶어진다.,MS01B,600,MN04,1
RN04C,피크닉 푸른 나무,우뚝 솟은 나무들,MS01B,400,MN04,2
RN04D,피크닉 풍차,바람개비 처럼 후 불어도 날개가 돌아가지 않아!,MS01B,900,MN04,3
RN04E,피크닉 돗자리,돗자리에 누워서 뒹굴 뒹굴,MS01B,700,MN04,4
