ID,과제 이름,내용,보상(대나무),보상(아이템),카테고리,종류,Count
RWBG01,첫 채집!,채집(낚시‚ 과일‚ 곤충)각각 1회 이상 성공,30,,gathering,All,1
RWBG02,채집 초보 탈출!,채집(낚시‚ 과일‚ 곤충)각각 5회 이상 성공,50,,gathering,All,5
RWBG03,도감이요?,첫 아이템 도감 잠금 해제,30,,book,Any,1
RWBG04,도감 왕의 첫 걸음,(낚시‚ 과일‚ 곤충‚ NPC‚ 가구‚ 중요한 도구) 각각의 도감 3개 해제,50,,book,All,3
RWBG05,작은 인싸,NPC 도감 10명 해제,100,,book,NPC,10
RWBG06,곤충 애호가,곤충 도감 7마리 해제,70,,book,Bug,7
RWBG07,낚시 애호가,물고기 도감 7마리 해제,70,,book,Fish,7
RWBG08,채집 애호가,과일 도감 7개 해제,70,,book,Fruit,7
RWBG09,초보 레시피 연구자,레시피 도감 5개 해제,70,,book,Recipe,7
RWBG10,부자로의 첫 걸음,누적 대나무 5000 이상 소지,200,,bamboo,None,5000
RWBG11,소비 왕의 첫 걸음,메인 상점 아이템 구매 5회 이상,100,,item,Purchase ,5
RWBG12,판매 왕의 첫 걸음,아이템 판매 15회 이상,30,,item,Sales,15
RWBG13,살림 왕의 첫 걸음,가구 배치 1개의 테마 완성,200,,furniture,None,1
RWBG14,요리 왕의 첫 걸음,A등급 이상 요리 10회 이상 제작,100,,cook,A,10
RWBG15,초보 사진 애호가,사진 찍기 10회 이상 실행,50,,camera,Take,10
RWBG16,공유 애호가,사진 공유 1회 이상 실행,50,,camera,Sharing,1
