ItemID,Name,Description,Price,Mbti,Tool,,
CookFd01,과일 찜,과일의 향이 풍부하게 올라오는 찜. 컬러풀한 색감이 식욕을 돋운다.,20,,oven,x,
CookFd02,통 구이,야채 본연의 맛을 즐길 수 있는 간단한 구이.풍부하게 생긴 구성이 먹음직스럽다.,20,,pan,x,
CookFd03,딱딱 스튜,갑각류를 볶아놓은 간단한 볶음요리. 딱딱하던 껍질이 부드럽게 요리되었다.,20,,pan,x,
CookFd04,야채 소금구이,신선한 야채에 소금으로 간을 맞춘 간단한 구이.재료 본연의 맛을 살렸다.,20,,pan,x,
CookFd05,버섯 소금구이,신선한 버섯에 소금으로 간을 맞춘 간단한 구이.재료 본연의 맛을 살렸다.,20,,pan,x,
CookFd06,생선 소금구이,신선한 생선에 소금으로 간을 맞춘 간단한 구이.재료 본연의 맛을 살렸다.,20,,pan,x,
CookFd07,스파이시 야채구이,신선한 야채에 매운 향신료로 간을 맞춘 구이.화끈한 맛이 일품이다.,30,,pan,,
CookFd08,스파이시 버섯구이,신선한 버섯에 매운 향신료로 간을 맞춘 구이.화끈한 맛이 일품이다.,30,,pan,,
CookFd09,스파이시 생선구이,신선한 생선에 매운 향신료로 간을 맞춘 구이.화끈한 맛이 일품이다.,30,,pan,,
CookFd10,해산물 전골,다양한 해산물을 넣고 끓인 전골요리. 바다의 향이 식욕을 돋운다.,20,,pot,x,
CookFd11,야채 전골,다양한 야채를 넣고 끓인 전골요리. 야채의 향이 식욕을 돋운다.,20,,pot,,
CookFd12,과일 전골,다양한 과일을 넣고 끓인 전골요리. 과일의 향이이 식욕을 돋운다.,20,,pot,,
CookFd13,버섯 전골,다양한 버섯을 넣고 끓인 전골요리. 숲의 향이이 식욕을 돋운다.,20,,pot,,
CookFd14,달게 조린 야채,신선한 야채를 달달하게 조린 요리.재료의 깊은 맛 속에서 달달함이 올라온다.,35,,pan,x,
CookFd15,달게 조린 버섯,신선한 버섯을 달달하게 조린 요리.재료의 깊은 맛 속에서 달달함이 올라온다.,35,,pan,,
CookFd16,달게 조린 생선,신선한 생선을 달달하게 조린 요리.재료의 깊은 맛 속에서 달달함이 올라온다.,35,,pan,,
CookFd17,통 호박 야채 찜,신선한 야채를 호박에 넣고 통째로 찐 요리. 그릇까지 먹을 수 있다.,40,,oven,x,
CookFd18,통 호박 버섯 찜,신선한 버섯을 호박에 넣고 통째로 찐 요리. 그릇까지 먹을 수 있다.,40,,oven,x,
CookFd19,통 호박 생선 찜,신선한 생선을 호박에 넣고 통째로 찐 요리. 그릇까지 먹을 수 있다.,40,,oven,x,
CookFd20,주먹밥,밥을 사용한 간단한 요리. 언제든 든든한 한끼 요리다.,20,,pot,x,
CookFd21,해산물 주먹밥,밥과 생선을 활용한 간단한 요리. 언제든 든든한 한끼 요리다.,30,,pot,x,
CookFd22,야채 주먹밥,밥과 야채를 활용한 간단한 요리. 언제든 든든한 한끼 요리다.,30,,pot,n,x
CookFd23,버섯 주먹밥,밥과 버섯을 활용한 간단한 요리. 언제든 든든한 한끼 요리다.,30,,pot,x,
CookFd24,콤비네이션 피자,다양한 재료로 토핑한 피자. 재료의 조화가 느껴진다. ,40,,oven,x,
CookFd25,버섯 피자,맛있는 버섯으로 토핑한 피자. 버섯의 풍미가 느껴진다. ,40,,oven,x,
CookFd26,야채 피자,맛있는 야채로 토핑한 피자. 다양한 야채의 풍미가 느껴진다. ,40,,oven,x,
CookFd27,피쉬 피자,맛있는 생선으로 토핑한 피자. 생선의 풍미가 느껴진다. ,40,,oven,x,
CookFd28,꿀에 절인 과일,신선한 과일을 달콤한 꿀에 절인 요리. 머리 끝까지 달달함이 느껴진다.,40,,pot,x,
CookFd29,사과 사탕,사과로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd30,딸기 사탕,딸기로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd31,파인애플 사탕,파인애플로 만든 사탕. 은은한 새콤함이 느껴진다.,15,,pot,x,
CookFd32,포도 사탕,포도로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd33,죽순 사탕,죽순으로 만든 사탕. 판다들의 최고 간식! 이것을 싫어하는 판다는 없다.,15,,pot,x,
CookFd34,수박 사탕,수박으로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd35,바나나 사탕,바나나로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd36,복숭아 사탕,복숭아로 만든 사탕. 은은한 달콤함이 느껴진다.,15,,pot,x,
CookFd37,과일 스튜,과일을 넣고 끓인 스프요리. 든든한 한끼로 충분하다.,20,,pot,,
CookFd38,버섯 스튜,버섯을 넣고 끓인 스프요리. 든든한 한끼로 충분하다.,20,,pot,,
CookFd39,생선 스튜,생선을 넣고 끓인 스프요리. 든든한 한끼로 충분하다.,20,,pot,,
CookFd40,야채 스튜,야채를 넣고 끓인 스프요리. 든든한 한끼로 충분하다.,20,,pot,,
CookFd41,과일 볶음,각종 야채를 넣고 볶은 요리. 상큼하다.,30,,pan,,
CookFd42,생선 구이,기본적인 생선 구이. 담백하다,15,,pan,,
CookFd43,꼬불 다리 구이,기본적인 다리 구이. 쫄깃하다.,20,,pan,,
CookFd44,껍질 꼬치,기본적인 껍질 꼬치. 담백하다.,25,,pan,,
CookFd45,해산물 구이,다양한 해산물 구이. 바다의 향이 느껴진다.,15,,pan,,
CookFd46,생선 튀김,기본적인 생선 튀김. 바삭하다.,20,,oven,,
CookFd47,캐비어,쉽게 얻을 수 없는 음식. 철갑 상어에게서 얻을 수 있다.,50,,pot,,
CookFd48,거대 생선 구이,쉽게 얻을 수 없는 거대한 생선을 구운 구이. 진귀한 요리다.,40,,pan,,
CookFd49,해물완자,달콤 짭짤한 소스를 얹은 완자요리.,25,,pot,,
CookFd50,참치 캔,참치를 보관하기 좋게 캔에 넣었다.,20,,pot,,
CookFd51,오징어 캔,오징어를 보관하기 좋게 캔에 넣었다.,20,,pot,,
CookFd52,문어 캔,문어를 보관하기 좋게 캔에 넣었다.,20,,pot,,
CookFd53,쓰레기 음식,"이건,, 먹을 수 없다. 극한의 환경이 아니라면,,",1,,,,
CookFd54,애매한 요리,"상당히 애매하다. 흐음,,, 참 애매하다.",10,,,,
CookFd55,갑각 다리 구이,기본적인 다리 구이. 부드러운 속살.,20,,pan,,
CookFd56,바다 산적,생선과 대파가 어우러진 산적,15,,pan,,
