ID,과제 이름,내용,보상(대나무),보상(아이템)
RWMD01,채집의 중수,채집(낚시‚ 과일‚ 곤충)각각 20회 이상 실행,100,
RWMD02,도감 왕의 두 걸음,(낚시‚ 과일‚ 곤충‚ NPC‚ 가구‚ 중요한 도구) 각각의 도감 10개 해제,100,
RWMD03,조금 작은 인싸,NPC 도감 20명 해제,200,
RWMD04,곤충 매니아,곤충 도감 15마리 해제,100,
RWMD05,낚시 매니아,물고기 도감 15마리 해제,100,
RWMD06,채집 매니아,과일 도감 15개 해제,100,
RWMD07,중급 레시피 연구자,레시피 도감 12개 해제,100,
RWMD08,부자의 두 걸음,누적 대나무 10000 이상 소지,400,
RWMD09,소비 왕의 두 걸음,메인 상점 아이템 구매 10회 이상,200,
RWMD10,판매 왕의 두 걸음,아이템 판매 30회 이상,50,
RWMD11,살림 왕의 두 걸음,가구 배치 3개의 테마 완성,300,
RWMD12,요리 왕의 두 걸음,A등급 이상 요리 30회 이상 제작,200,
RWMD13,중급 사진 애호가,사진 찍기 30회 이상 실행,100,
RWMD14,공유 애호가,사진 공유 5회 이상 실행,150,
